aalborg, aria_fd_albg, (-118841, 3072, -8925976)
aalborg, ika_bohag, (26045, 3003, -9097856)
aalborg, nord_crown, (549942, 2237, -9233438)
aalborg, norrsken, (39976, 3003, -9106504)
aalborg, ns_oil, (508157, 2258, -9264657)
aalborg, polar_fish, (260821, 1494, -9264430)
aalborg, vitas_pwr, (549280, 2262, -9246096)
aberdeen, nbfc, (-9910392, 23241, -14074451)
aberdeen, stokes, (-9889291, 23241, -14048496)
aberdeen, tree_et, (-10114893, 23241, -14182052)
alban, nucleon, (-6658923, 8960, 7411240)
amsterdam, kaarfor, (-4697693, 7391, -2980343)
amsterdam, lkwlog, (-4672386, 7394, -3032721)
amsterdam, stokes, (-4697775, 7396, -3016212)
amsterdam, trameri, (-4645935, 7392, -3006804)
ancona, c_navale, (2648518, 523, 10225766)
ancona, cnp, (2300976, 512, 10137327)
ancona, cont_port_it, (2690079, 512, 10139175)
ancona, exomar, (2728706, 1536, 10496460)
ancona, ika_bohag, (2739674, 1536, 10490136)
ancona, libellula, (1689665, 9, 9879136)
ancona, marina_it, (2611764, 512, 10223340)
bari, aci, (5955471, -1024, 13791089)
bari, cont_port_it, (6335262, 776, 13947262)
bari, marina_it, (6268807, 776, 13900732)
bari, quadrelli, (5849470, 3328, 14262882)
bari, tras_med, (5919642, 1664, 14047693)
bergen, drekkar, (-2587881, 715, -14595961)
bergen, gnt, (-2661008, 718, -14319024)
bergen, nord_crown, (-2604931, 624, -14594614)
bergen, polar_fish, (-2605000, 716, -14581435)
bergen, polarislines, (-2675622, 742, -14137837)
berlin, bcp, (2602903, 6284, -2544131)
berlin, euroacres, (2610089, 6057, -2418177)
berlin, eurogoodies, (2574159, 6284, -2529910)
berlin, nbfc, (2528323, 8383, -2560739)
berlin, sanbuilders, (2598350, 8384, -2601694)
bern, euroacres, (-3472419, 13060, 5298563)
bern, eurogoodies, (-3195156, 13919, 5134600)
bern, kaarfor, (-3188819, 13614, 5108392)
bialystok, euroacres, (11066736, 10783, -3875951)
bialystok, itcc, (11302859, 10780, -3895666)
bialystok, transinet, (11331278, 10580, -3858453)
bialystok, tree_et, (11557968, 10880, -3692634)
birmingham, bcp, (-11831680, 8972, -5191152)
birmingham, posped, (-11809698, 8972, -5287235)
birmingham, sanbuilders, (-11831534, 8967, -5244281)
birmingham, tree_et, (-11668222, 9216, -5138151)
bologna, aci, (439691, 9587, 8613519)
bologna, exomar, (885054, 11692, 8983816)
bologna, ika_bohag, (-18840, 9083, 8912005)
bologna, ini, (1055381, 10181, 9229982)
bologna, libellula, (339889, 9586, 8695117)
bologna, piac, (94952, 8361, 8700321)
bologna, pp_chimica, (880364, 9236, 8321137)
bordeaux, batisse_road, (-12271797, 11005, 7190437)
bordeaux, bhv, (-12072152, 11019, 6884388)
bordeaux, dans_jardin, (-12265054, 10922, 6627394)
bordeaux, eco, (-11497912, 10260, 6539511)
bordeaux, globeur, (-12086002, 11019, 6865352)
bordeaux, huilant, (-11734642, 8960, 6760090)
bordeaux, ika_bohag, (-12285604, 11008, 7146429)
bordeaux, lisette_log, (-11957041, 8351, 7614255)
bordeaux, mvm_carriere, (-12563457, 10509, 6941460)
bourges, dans_jardin, (-8281482, 1280, 3424989)
bourges, globeur, (-8208207, 8192, 4355580)
bourges, gomme_monde, (-8146082, 7680, 4160665)
bourges, nos_pat_brg, (-9032961, 7680, 4100185)
